Country,Region,HappinessScore2015,GDPpercapita2015,HappinessScore2016,GDPpercapita2016,HappinessScore2017,GDPpercapita2017
Switzerland,Western Europe,7.587,1.39651,7.509,7.59,7.49399995803833,1.56497955322266
Iceland,Western Europe,7.561,1.30232,7.501,7.669,7.50400018692017,1.480633020401
Denmark,Western Europe,7.527,1.32548,7.526,7.592,7.52199983596802,1.48238301277161
Norway,Western Europe,7.522,1.459,7.498,7.575,7.53700017929077,1.61646318435669
Canada,North America,7.427,1.32629,7.404,7.473,7.31599998474121,1.47920441627502
Finland,Western Europe,7.406,1.29025,7.413,7.475,7.4689998626709,1.44357192516327
Netherlands,Western Europe,7.378,1.32944,7.339,7.394,7.3769998550415,1.50394463539124
Sweden,Western Europe,7.364,1.33171,7.291,7.355,7.28399991989136,1.49438726902008
New Zealand,Australia and New Zealand,7.286,1.25018,7.334,7.404,7.31400012969971,1.40570604801178
Australia,Australia and New Zealand,7.284,1.33358,7.313,7.385,7.28399991989136,1.484414935112
Israel,Middle East and Northern Africa,7.278,1.22857,7.267,7.335,7.21299982070923,1.37538242340088
Costa Rica,Latin America and Caribbean,7.226,0.95578,7.087,7.175,7.0789999961853,1.10970628261566
Austria,Western Europe,7.2,1.33723,7.119,7.193,7.00600004196167,1.48709726333618
Mexico,Latin America and Caribbean,7.187,1.02054,6.778,6.876,6.57800006866455,1.15318381786346
United States,North America,7.119,1.39451,7.104,7.188,6.99300003051758,1.54625928401947
Brazil,Latin America and Caribbean,6.983,0.98124,6.952,7.029,6.63500022888184,1.10735321044922
Luxembourg,Western Europe,6.946,1.56391,6.871,6.938,6.86299991607666,1.74194359779358
Ireland,Western Europe,6.94,1.33596,6.907,6.978,6.97700023651123,1.53570663928986
Belgium,Western Europe,6.937,1.30782,6.929,6.997,6.89099979400635,1.46378076076508
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,6.573,6.652,6.64799976348877,1.62634336948395
United Kingdom,Western Europe,6.867,1.26637,6.725,6.803,6.71400022506714,1.44163393974304
Oman,Middle East and Northern Africa,6.853,1.36011,NA,NA,NA,NA
Venezuela,Latin America and Caribbean,6.81,1.04424,6.084,6.195,5.25,1.12843120098114
Singapore,Southeastern Asia,6.798,1.52186,6.739,6.804,6.57200002670288,1.69227766990662
Panama,Latin America and Caribbean,6.786,1.06353,6.701,6.801,6.4520001411438,1.23374843597412
Germany,Western Europe,6.75,1.32792,6.994,7.058,6.95100021362305,1.48792338371277
Chile,Latin America and Caribbean,6.67,1.10715,6.705,6.795,6.65199995040894,1.25278460979462
Qatar,Middle East and Northern Africa,6.611,1.69042,6.375,6.572,6.375,1.87076568603516
France,Western Europe,6.575,1.27778,6.478,6.559,6.44199991226196,1.43092346191406
Argentina,Latin America and Caribbean,6.574,1.05351,6.65,6.74,6.59899997711182,1.18529546260834
Czech Republic,Central and Eastern Europe,6.505,1.17898,6.596,6.677,6.60900020599365,1.35268235206604
Uruguay,Latin America and Caribbean,6.485,1.06166,6.545,6.634,6.4539999961853,1.21755969524384
Colombia,Latin America and Caribbean,6.477,0.91861,6.481,6.578,6.35699987411499,1.07062232494354
Thailand,Southeastern Asia,6.455,0.9669,6.474,6.552,6.42399978637695,1.12786877155304
Saudi Arabia,Middle East and Northern Africa,6.411,1.39541,6.379,6.471,6.3439998626709,1.53062355518341
Spain,Western Europe,6.329,1.23011,6.361,6.434,6.40299987792969,1.38439786434174
Malta,Western Europe,6.302,1.2074,6.488,6.567,6.52699995040894,1.34327983856201
Taiwan,Eastern Asia,6.298,1.29098,6.379,6.453,NA,NA
Kuwait,Middle East and Northern Africa,6.295,1.55422,6.239,6.324,6.10500001907349,1.63295245170593
Suriname,Latin America and Caribbean,6.269,0.99534,6.269,6.465,NA,NA
Trinidad and Tobago,Latin America and Caribbean,6.168,1.21183,6.168,6.386,6.16800022125244,1.36135590076447
El Salvador,Latin America and Caribbean,6.13,0.76454,6.068,6.169,6.00299978256226,0.909784495830536
Guatemala,Latin America and Caribbean,6.123,0.74553,6.324,6.435,6.4539999961853,0.872001945972443
Uzbekistan,Central and Eastern Europe,6.003,0.63244,5.987,6.078,5.97100019454956,0.786441087722778
Slovakia,Central and Eastern Europe,5.995,1.16891,6.078,6.16,6.09800004959106,1.32539355754852
Japan,Eastern Asia,5.987,1.27074,5.921,5.992,5.92000007629395,1.41691517829895
South Korea,Eastern Asia,5.984,1.24461,5.835,5.923,5.83799982070923,1.40167844295502
Ecuador,Latin America and Caribbean,5.975,0.86402,5.976,6.072,6.00799989700317,1.00082039833069
Bahrain,Middle East and Northern Africa,5.96,1.32376,6.218,6.308,6.08699989318848,1.48841226100922
Italy,Western Europe,5.948,1.25114,5.977,6.056,5.96400022506714,1.39506661891937
Bolivia,Latin America and Caribbean,5.89,0.68133,5.822,5.904,5.82299995422363,0.833756566047668
Moldova,Central and Eastern Europe,5.889,0.59448,5.897,5.971,5.83799982070923,0.728870630264282
Paraguay,Latin America and Caribbean,5.878,0.75985,5.538,5.623,5.49300003051758,0.932537317276001
Kazakhstan,Central and Eastern Europe,5.855,1.12254,5.919,6.001,5.81899976730347,1.28455626964569
Slovenia,Central and Eastern Europe,5.848,1.18498,5.768,5.853,5.75799989700317,1.3412059545517
